Financiera,Mes,Valor
MSTART,"Marzo, 26",9
NEXU,"Marzo, 26",0
SANTANDER,"Marzo, 26",25
SCOTIABANK,"Marzo, 26",1
SUMAFIN,"Marzo, 26",1
BAJIO,"Marzo, 26",1
KUNA,"Marzo, 26",0
ABC,"Abril, 26",0
AFIRME,"Abril, 26",0
BANORTE,"Abril, 26",33
BBVA,"Abril, 26",7
ENSUEÑO,"Abril, 26",1
FINANMADRID,"Abril, 26",0
INBURSA,"Abril, 26",0
MSTART,"Abril, 26",5
NEXU,"Abril, 26",0
SANTANDER,"Abril, 26",21
SCOTIABANK,"Abril, 26",3
SUMAFIN,"Abril, 26",0
BAJIO,"Abril, 26",0
KUNA,"Abril, 26",4
ABC,"Mayo, 26",0
AFIRME,"Mayo, 26",0
BANORTE,"Mayo, 26",34
BBVA,"Mayo, 26",11
ENSUEÑO,"Mayo, 26",8
FINANMADRID,"Mayo, 26",0
INBURSA,"Mayo, 26",0
MSTART,"Mayo, 26",11
NEXU,"Mayo, 26",0
SANTANDER,"Mayo, 26",18
SCOTIABANK,"Mayo, 26",9
SUMAFIN,"Mayo, 26",0
BAJIO,"Mayo, 26",0
KUNA,"Mayo, 26",4
ABC,"Junio, 26",0
AFIRME,"Junio, 26",0
BANORTE,"Junio, 26",15
BBVA,"Junio, 26",16
ENSUEÑO,"Junio, 26",8
FINANMADRID,"Junio, 26",0
INBURSA,"Junio, 26",0
MSTART,"Junio, 26",6
NEXU,"Junio, 26",0
SANTANDER,"Junio, 26",30
SCOTIABANK,"Junio, 26",6
SUMAFIN,"Junio, 26",0
BAJIO,"Junio, 26",0
KUNA,"Junio, 26",1
ABC,"Julio, 26",0
AFIRME,"Julio, 26",0
BANORTE,"Julio, 26",10
BBVA,"Julio, 26",3
ENSUEÑO,"Julio, 26",7
FINANMADRID,"Julio, 26",0
INBURSA,"Julio, 26",0
MSTART,"Julio, 26",1
NEXU,"Julio, 26",0
SANTANDER,"Julio, 26",7
SCOTIABANK,"Julio, 26",4
SUMAFIN,"Julio, 26",0
BAJIO,"Julio, 26",0
KUNA,"Julio, 26",0
